date,description,amount,type,category
2025-09-01,Paycheck,2500,Income,Job
2025-09-03,Freelance Project,400,Income,Side Hustle
2025-09-05,Stock Dividend,50,Income,Investments
2025-09-07,Birthday Gift,100,Income,Gifts
2025-09-10,Savings Interest,10,Income,Interest
2025-09-12,Refund,30,Income,Other
2025-09-02,Supermarket,120,Expense,Groceries
2025-09-04,Rent,900,Expense,Housing
2025-09-06,Electric Bill,60,Expense,Utilities
2025-09-08,Bus Pass,40,Expense,Transportation
2025-09-09,Doctor Visit,75,Expense,Healthcare
2025-09-11,Online Course,60,Expense,Education
2025-09-13,Daycare,200,Expense,Childcare
2025-09-14,Restaurant Dinner,55,Expense,Restaurants
2025-09-15,Anniversary Gift,80,Expense,Gifts
2025-09-16,Movie Night,30,Expense,Entertainment
2025-09-17,Clothes Shopping,100,Expense,Shopping
2025-09-18,Miscellaneous,25,Expense,Other
